,,Subjects,,,,,,,,,
serialId,studentName,Unix,NT,AWD,ASP.NET,WFS,CC,Practical,totalMarks,percentage,grades
TBCA2301,Harsh Aalwani,85,80,88,89,85,80,85,592,84.57,A
TBCA2302,Neha Sharma,78,82,90,88,76,85,82,591,83.50,B
TBCA2303,Rohit Verma,91,89,90,87,92,80,88,617,85.71,A
TBCA2304,Anita Gupta,83,78,88,91,85,82,87,594,81.91,B
TBCA2305,Suresh Kumar,79,86,83,81,78,78,83,568,79.43,C
TBCA2306,Simran Kaur,89,87,91,83,91,82,88,611,82.29,B
TBCA2307,Aman Singh,93,79,85,89,79,86,91,602,82.14,B
TBCA2308,Pooja Reddy,82,91,85,79,88,85,89,599,83.00,B
TBCA2309,Vikram Joshi,78,89,93,86,90,81,89,606,84.43,A
TBCA2310,Divya Mehta,90,83,91,87,80,80,85,596,81.57,B
