,,Subjects,,,,,,,,,
serialId,studentName,Economics,Accounting,Management,Communication,E-Commernce,Auditing,Project,totalMarks,percentage,grades
TBCOM2901,Ajay Rao,91,86,93,92,88,86,91,630,85.71,A
TBCOM2902,Priyanka Jain,83,88,96,93,82,90,87,619,83.71,B
TBCOM2903,Sanjeev Yadav,97,95,97,94,98,87,94,655,87.57,A
TBCOM2904,Radhika Patel,89,84,92,97,91,88,93,632,82.86,B
TBCOM2905,Sandeep Sinha,86,92,89,87,84,84,88,609,81.71,C
TBCOM2906,Radhika Sharma,95,93,97,89,97,88,93,645,83.71,B
TBCOM2907,Vivek Agarwal,99,85,91,95,85,92,97,636,83.43,B
TBCOM2908,Smita Jain,88,97,91,85,94,91,95,633,85.57,B
TBCOM2909,Rajeev Joshi,84,95,99,92,96,86,95,640,86.43,A
TBCOM2910,Ritika Bansal,96,89,97,94,86,86,91,630,83.00,B
